,K,percentDMSO,Vol,km,vmax,loss,r_squared
37,1.0,1.0,40.0,3.7419610023498535,0.12628275156021118,0.002852051518857479,0.991068145374819
38,1.0,1.0,40.0,3.486001491546631,0.11975844949483871,0.002841934561729431,0.9888920885233197
39,4.0,5.0,40.0,1.446555495262146,0.11071717739105225,0.004599570296704769,0.9782945460239735
40,4.0,5.0,40.0,1.5233111381530762,0.10832705348730087,0.004351552575826645,0.9820132318930319
41,4.0,5.0,40.0,1.123542308807373,0.0983654335141182,0.003309517167508602,0.9874385142299364
42,1.0,5.0,40.0,3.1623153686523438,0.07500983774662018,0.02738155983388424,0.08950324970658163
43,1.0,5.0,40.0,3.152601480484009,0.07277221977710724,0.02421366050839424,0.037659262075719235
44,1.0,5.0,40.0,3.1028127670288086,0.07009118050336838,0.027736090123653412,0.1064468847650335
45,1.0,1.0,40.0,2.3109591007232666,0.03186071664094925,0.027075983583927155,0.11370487327290879
46,1.0,1.0,40.0,2.29862642288208,0.03198609501123428,0.022425489500164986,0.17106485564956608
47,1.0,1.0,40.0,2.2603423595428467,0.028294235467910767,0.02461213245987892,0.07152237930536509
48,4.0,1.0,40.0,0.0357019416987896,0.11007095873355865,0.004118477925658226,0.972539995415387
49,4.0,1.0,40.0,0.024895505979657173,0.1087353453040123,0.0031613828614354134,0.9743107111956851
50,4.0,1.0,40.0,0.18098391592502594,0.09965801239013672,0.005793706979602575,0.8735419600393093
51,4.0,1.0,40.0,0.9702820181846619,0.10361777245998383,0.0035175441298633814,0.9802836462646533
52,4.0,1.0,40.0,0.4484785199165344,0.09197963774204254,0.003289451589807868,0.9870292016337736
53,4.0,1.0,40.0,0.9633887410163879,0.09971055388450623,0.003788474015891552,0.9838851691259435
