User: USER,Path: C:\Program Files (x86)\BMG\PHERAstar\User\Data\,Test run no.: 324
Test name: PathLength,Date: 17/12/2019,Time: 14:49:42
ID1: 20191217_pathlength_2,
Absorbance

Well Row,Well Col,Content,Raw Data (900 1),Raw Data (975 2),
O,3,Sample X341,0.035,0.064,
P,3,Sample X365,0.024,0.053,
A,4,Sample X6,0.029,0.061,
B,4,Sample X30,0.027,0.057,
C,4,Sample X54,0.025,0.057,
D,4,Sample X78,0.026,0.057,
E,4,Sample X102,0.025,0.057,
F,4,Sample X126,0.023,0.056,
G,4,Sample X150,0.025,0.054,
H,4,Sample X174,0.024,0.051,
I,4,Sample X198,0.026,0.057,
J,4,Sample X222,0.022,0.053,
K,4,Sample X246,0.024,0.055,
L,4,Sample X270,0.025,0.055,
M,4,Sample X294,0.026,0.058,
N,4,Sample X318,0.025,0.055,
O,4,Sample X342,0.024,0.055,
P,4,Sample X366,0.027,0.057,
A,5,Sample X7,0.028,0.059,
B,5,Sample X31,0.026,0.055,
C,5,Sample X55,0.026,0.058,
D,5,Sample X79,0.025,0.055,
E,5,Sample X103,0.043,0.074,
F,5,Sample X127,0.058,0.087,
G,5,Sample X151,0.042,0.070,
H,5,Sample X175,0.029,0.058,
I,5,Sample X199,0.025,0.055,
J,5,Sample X223,0.024,0.053,
K,5,Sample X247,0.025,0.052,
L,5,Sample X271,0.025,0.051,
M,5,Sample X295,0.026,0.058,
N,5,Sample X319,0.024,0.055,
O,5,Sample X343,0.024,0.054,
P,5,Sample X367,0.024,0.053,
A,6,Sample X8,0.027,0.059,
B,6,Sample X32,0.025,0.056,
C,6,Sample X56,0.025,0.054,
D,6,Sample X80,0.026,0.057,
E,6,Sample X104,0.034,0.063,
F,6,Sample X128,0.028,0.061,
G,6,Sample X152,0.070,0.097,
H,6,Sample X176,0.053,0.080,
I,6,Sample X200,0.041,0.070,
J,6,Sample X224,0.024,0.053,
K,6,Sample X248,0.024,0.055,
L,6,Sample X272,0.024,0.053,
M,6,Sample X296,0.024,0.054,
N,6,Sample X320,0.025,0.055,
O,6,Sample X344,0.024,0.054,
P,6,Sample X368,0.027,0.058,
A,7,Sample X9,0.034,0.101,
B,7,Sample X33,0.026,0.094,
C,7,Sample X57,0.028,0.095,
D,7,Sample X81,0.026,0.094,
E,7,Sample X105,0.026,0.095,
F,7,Sample X129,0.027,0.096,
G,7,Sample X153,0.025,0.086,
H,7,Sample X177,0.030,0.085,
I,7,Sample X201,0.031,0.096,
J,7,Sample X225,0.024,0.086,
K,7,Sample X249,0.025,0.082,
L,7,Sample X273,0.025,0.084,
M,7,Sample X297,0.027,0.092,
N,7,Sample X321,0.026,0.091,
O,7,Sample X345,0.028,0.092,
P,7,Sample X369,0.026,0.091,
A,8,Sample X10,0.030,0.061,
B,8,Sample X34,0.080,0.110,
C,8,Sample X58,0.025,0.056,
D,8,Sample X82,0.024,0.055,
E,8,Sample X106,0.024,0.057,
F,8,Sample X130,0.054,0.085,
G,8,Sample X154,0.056,0.084,
H,8,Sample X178,0.027,0.056,
I,8,Sample X202,0.025,0.056,
J,8,Sample X226,0.037,0.066,
K,8,Sample X250,0.024,0.053,
L,8,Sample X274,0.024,0.054,
M,8,Sample X298,0.024,0.055,
N,8,Sample X322,0.024,0.054,
O,8,Sample X346,0.026,0.057,
P,8,Sample X370,0.024,0.052,
A,9,Sample X11,0.030,0.097,
B,9,Sample X35,0.044,0.109,
C,9,Sample X59,0.027,0.094,
D,9,Sample X83,0.027,0.092,
E,9,Sample X107,0.045,0.113,
F,9,Sample X131,0.028,0.096,
G,9,Sample X155,0.026,0.087,
H,9,Sample X179,0.025,0.085,
I,9,Sample X203,0.029,0.092,
J,9,Sample X227,0.035,0.097,
K,9,Sample X251,0.025,0.080,
L,9,Sample X275,0.025,0.074,
M,9,Sample X299,0.026,0.092,
N,9,Sample X323,0.026,0.090,
O,9,Sample X347,0.024,0.089,
P,9,Sample X371,0.027,0.090,
A,10,Sample X12,0.029,0.059,
B,10,Sample X36,0.027,0.058,
C,10,Sample X60,0.024,0.055,
D,10,Sample X84,0.023,0.054,
E,10,Sample X108,0.025,0.057,
F,10,Sample X132,0.023,0.053,
G,10,Sample X156,0.027,0.055,
H,10,Sample X180,0.030,0.058,
I,10,Sample X204,0.031,0.061,
J,10,Sample X228,0.026,0.056,
K,10,Sample X252,0.024,0.055,
L,10,Sample X276,0.023,0.054,
M,10,Sample X300,0.025,0.056,
N,10,Sample X324,0.024,0.054,
O,10,Sample X348,0.025,0.055,
P,10,Sample X372,0.024,0.053,
A,11,Sample X13,0.028,0.094,
B,11,Sample X37,0.026,0.091,
C,11,Sample X61,0.027,0.092,
D,11,Sample X85,0.026,0.091,
E,11,Sample X109,0.027,0.095,
F,11,Sample X133,0.030,0.090,
G,11,Sample X157,0.026,0.087,
H,11,Sample X181,0.026,0.085,
I,11,Sample X205,0.082,0.138,
J,11,Sample X229,0.025,0.086,
K,11,Sample X253,0.027,0.081,
L,11,Sample X277,0.024,0.074,
M,11,Sample X301,0.026,0.090,
N,11,Sample X325,0.025,0.089,
O,11,Sample X349,0.025,0.089,
P,11,Sample X373,0.026,0.090,
A,12,Sample X14,0.028,0.058,
B,12,Sample X38,0.025,0.057,
C,12,Sample X62,0.029,0.057,
D,12,Sample X86,0.025,0.056,
E,12,Sample X110,0.024,0.056,
F,12,Sample X134,0.022,0.054,
G,12,Sample X158,0.026,0.055,
H,12,Sample X182,0.028,0.054,
I,12,Sample X206,0.032,0.060,
J,12,Sample X230,0.060,0.089,
K,12,Sample X254,0.022,0.052,
L,12,Sample X278,0.025,0.054,
M,12,Sample X302,0.025,0.055,
N,12,Sample X326,0.026,0.055,
O,12,Sample X350,0.024,0.054,
P,12,Sample X374,0.023,0.053,
A,13,Sample X15,0.027,0.058,
B,13,Sample X39,0.064,0.090,
C,13,Sample X63,0.025,0.057,
D,13,Sample X87,0.046,0.075,
E,13,Sample X111,0.097,0.129,
F,13,Sample X135,0.079,0.109,
G,13,Sample X159,0.038,0.066,
H,13,Sample X183,0.028,0.057,
I,13,Sample X207,0.028,0.059,
J,13,Sample X231,0.032,0.062,
K,13,Sample X255,0.031,0.056,
L,13,Sample X279,0.043,0.067,
M,13,Sample X303,0.066,0.095,
N,13,Sample X327,0.072,0.099,
O,13,Sample X351,0.070,0.097,
P,13,Sample X375,0.025,0.053,
A,14,Sample X16,0.029,0.095,
B,14,Sample X40,0.029,0.088,
C,14,Sample X64,0.024,0.090,
D,14,Sample X88,0.025,0.087,
E,14,Sample X112,0.024,0.091,
F,14,Sample X136,0.025,0.089,
G,14,Sample X160,0.024,0.081,
H,14,Sample X184,0.023,0.079,
I,14,Sample X208,0.025,0.087,
J,14,Sample X232,0.024,0.082,
K,14,Sample X256,0.023,0.087,
L,14,Sample X280,0.027,0.086,
M,14,Sample X304,0.025,0.088,
N,14,Sample X328,0.024,0.086,
O,14,Sample X352,0.023,0.087,
P,14,Sample X376,0.024,0.084,
A,15,Sample X17,0.030,0.060,
B,15,Sample X41,0.025,0.053,
C,15,Sample X65,0.026,0.055,
D,15,Sample X89,0.026,0.052,
E,15,Sample X113,0.028,0.059,
F,15,Sample X137,0.032,0.061,
G,15,Sample X161,0.028,0.053,
H,15,Sample X185,0.034,0.061,
I,15,Sample X209,0.024,0.053,
J,15,Sample X233,0.060,0.088,
K,15,Sample X257,0.025,0.050,
L,15,Sample X281,0.027,0.051,
M,15,Sample X305,0.025,0.054,
N,15,Sample X329,0.025,0.053,
O,15,Sample X353,0.029,0.057,
P,15,Sample X377,0.028,0.056,
A,16,Sample X18,0.028,0.094,
B,16,Sample X42,0.026,0.086,
C,16,Sample X66,0.027,0.091,
D,16,Sample X90,0.031,0.090,
E,16,Sample X114,0.024,0.090,
F,16,Sample X138,0.024,0.086,
G,16,Sample X162,0.026,0.086,
H,16,Sample X186,0.023,0.080,
I,16,Sample X210,0.023,0.085,
J,16,Sample X234,0.037,0.098,
K,16,Sample X258,0.023,0.085,
L,16,Sample X282,0.026,0.085,
M,16,Sample X306,0.026,0.090,
N,16,Sample X330,0.025,0.085,
O,16,Sample X354,0.024,0.088,
P,16,Sample X378,0.026,0.087,
A,17,Sample X19,0.027,0.058,
B,17,Sample X43,0.024,0.055,
C,17,Sample X67,0.026,0.057,
D,17,Sample X91,0.065,0.096,
E,17,Sample X115,0.028,0.059,
F,17,Sample X139,0.028,0.058,
G,17,Sample X163,0.067,0.094,
H,17,Sample X187,0.071,0.099,
I,17,Sample X211,0.058,0.087,
J,17,Sample X235,0.046,0.074,
K,17,Sample X259,0.032,0.058,
L,17,Sample X283,0.031,0.056,
M,17,Sample X307,0.025,0.055,
N,17,Sample X331,0.027,0.055,
O,17,Sample X355,0.026,0.054,
P,17,Sample X379,0.026,0.055,
A,18,Sample X20,0.056,0.119,
B,18,Sample X44,0.025,0.089,
C,18,Sample X68,0.024,0.089,
D,18,Sample X92,0.027,0.090,
E,18,Sample X116,0.023,0.090,
F,18,Sample X140,0.022,0.085,
G,18,Sample X164,0.024,0.083,
H,18,Sample X188,0.023,0.078,
I,18,Sample X212,0.024,0.086,
J,18,Sample X236,0.024,0.085,
K,18,Sample X260,0.024,0.086,
L,18,Sample X284,0.023,0.083,
M,18,Sample X308,0.024,0.086,
N,18,Sample X332,0.024,0.087,
O,18,Sample X356,0.023,0.087,
P,18,Sample X380,0.025,0.087,
A,19,Sample X21,0.033,0.097,
B,19,Sample X45,0.028,0.090,
C,19,Sample X69,0.027,0.088,
D,19,Sample X93,0.028,0.089,
E,19,Sample X117,0.027,0.093,
F,19,Sample X141,0.026,0.090,
G,19,Sample X165,0.036,0.095,
H,19,Sample X189,0.025,0.080,
I,19,Sample X213,0.026,0.088,
J,19,Sample X237,0.026,0.086,
K,19,Sample X261,0.024,0.077,
L,19,Sample X285,0.026,0.076,
M,19,Sample X309,0.026,0.090,
N,19,Sample X333,0.025,0.085,
O,19,Sample X357,0.025,0.087,
P,19,Sample X381,0.026,0.087,
A,20,Sample X22,0.031,0.094,
B,20,Sample X46,0.027,0.087,
C,20,Sample X70,0.026,0.087,
D,20,Sample X94,0.026,0.086,
E,20,Sample X118,0.024,0.090,
F,20,Sample X142,0.037,0.098,
G,20,Sample X166,0.025,0.082,
H,20,Sample X190,0.024,0.079,
I,20,Sample X214,0.027,0.090,
J,20,Sample X238,0.024,0.085,
K,20,Sample X262,0.024,0.086,
L,20,Sample X286,0.024,0.083,
M,20,Sample X310,0.024,0.087,
N,20,Sample X334,0.022,0.085,
O,20,Sample X358,0.022,0.085,
P,20,Sample X382,0.024,0.087,
A,21,Sample X23,0.028,0.093,
B,21,Sample X47,0.026,0.092,
C,21,Sample X71,0.026,0.092,
D,21,Sample X95,0.025,0.089,
E,21,Sample X119,0.025,0.092,
F,21,Sample X143,0.025,0.091,
G,21,Sample X167,0.027,0.085,
H,21,Sample X191,0.027,0.084,
I,21,Sample X215,0.026,0.089,
J,21,Sample X239,0.025,0.088,
K,21,Sample X263,0.024,0.077,
L,21,Sample X287,0.025,0.076,
M,21,Sample X311,0.027,0.090,
N,21,Sample X335,0.025,0.089,
O,21,Sample X359,0.026,0.089,
P,21,Sample X383,0.026,0.088,
A,22,Sample X24,0.028,0.094,
B,22,Sample X48,0.025,0.089,
C,22,Sample X72,0.025,0.088,
D,22,Sample X96,0.024,0.087,
E,22,Sample X120,0.023,0.089,
F,22,Sample X144,0.023,0.087,
G,22,Sample X168,0.022,0.080,
H,22,Sample X192,0.023,0.079,
I,22,Sample X216,0.023,0.086,
J,22,Sample X240,0.023,0.084,
K,22,Sample X264,0.023,0.086,
L,22,Sample X288,0.023,0.084,
M,22,Sample X312,0.022,0.085,
N,22,Sample X336,0.023,0.085,
O,22,Sample X360,0.023,0.085,
P,22,Sample X384,0.025,0.087,
A,23,Sample X25,0.030,0.096,
B,23,Sample X49,0.027,0.091,
C,23,Sample X73,0.026,0.090,
D,23,Sample X97,0.026,0.092,
E,23,Sample X121,0.024,0.089,
F,23,Sample X145,0.025,0.091,
G,23,Sample X169,0.024,0.082,
H,23,Sample X193,0.025,0.083,
I,23,Sample X217,0.025,0.087,
J,23,Sample X241,0.025,0.087,
K,23,Sample X265,0.024,0.075,
L,23,Sample X289,0.024,0.074,
M,23,Sample X313,0.027,0.089,
N,23,Sample X337,0.026,0.087,
O,23,Sample X361,0.027,0.088,
P,23,Sample X385,0.033,0.094,
A,24,Sample X26,0.032,0.096,
B,24,Sample X50,0.026,0.090,
C,24,Sample X74,0.027,0.090,
D,24,Sample X98,0.047,0.111,
E,24,Sample X122,0.062,0.125,
F,24,Sample X146,0.065,0.128,
G,24,Sample X170,0.028,0.086,
H,24,Sample X194,0.024,0.080,
I,24,Sample X218,0.023,0.083,
J,24,Sample X242,0.024,0.085,
K,24,Sample X266,0.023,0.084,
L,24,Sample X290,0.023,0.085,
M,24,Sample X314,0.026,0.089,
N,24,Sample X338,0.024,0.087,
O,24,Sample X362,0.027,0.090,
P,24,Sample X386,0.031,0.094,
