User: USER,Path: C:\Program Files (x86)\BMG\PHERAstar\User\Data\,Test run no.: 322
Test name: PathLength,Date: 17/12/2019,Time: 14:34:26
ID1: 20191217_pathlength_1,
Absorbance

Well Row,Well Col,Content,Raw Data (900 1),Raw Data (975 2),
M,10,Sample X300,0.018,0.057,
N,10,Sample X324,0.015,0.050,
O,10,Sample X348,0.016,0.053,
P,10,Sample X372,0.014,0.052,
A,11,Sample X13,0.028,0.060,
B,11,Sample X37,0.028,0.060,
C,11,Sample X61,0.039,0.071,
D,11,Sample X85,0.024,0.057,
E,11,Sample X109,0.025,0.057,
F,11,Sample X133,0.029,0.059,
G,11,Sample X157,0.032,0.061,
H,11,Sample X181,0.027,0.057,
I,11,Sample X205,0.024,0.055,
J,11,Sample X229,0.027,0.056,
K,11,Sample X253,0.046,0.072,
L,11,Sample X277,0.048,0.072,
M,11,Sample X301,0.025,0.055,
N,11,Sample X325,0.052,0.083,
O,11,Sample X349,0.023,0.052,
P,11,Sample X373,0.024,0.055,
A,12,Sample X14,0.022,0.057,
B,12,Sample X38,0.025,0.059,
C,12,Sample X62,0.022,0.058,
D,12,Sample X86,0.021,0.056,
E,12,Sample X110,0.021,0.057,
F,12,Sample X134,0.021,0.056,
G,12,Sample X158,0.019,0.052,
H,12,Sample X182,0.021,0.055,
I,12,Sample X206,0.016,0.050,
J,12,Sample X230,0.022,0.056,
K,12,Sample X254,0.019,0.051,
L,12,Sample X278,0.017,0.049,
M,12,Sample X302,0.019,0.054,
N,12,Sample X326,0.027,0.062,
O,12,Sample X350,0.020,0.055,
P,12,Sample X374,0.016,0.050,
A,13,Sample X15,0.033,0.098,
B,13,Sample X39,0.032,0.047,
C,13,Sample X63,0.027,0.092,
D,13,Sample X87,0.027,0.039,
E,13,Sample X111,0.029,0.092,
F,13,Sample X135,0.022,0.023,
G,13,Sample X159,0.032,0.094,
H,13,Sample X183,0.034,0.044,
I,13,Sample X207,0.030,0.091,
J,13,Sample X231,0.029,0.075,
K,13,Sample X255,0.105,0.157,
L,13,Sample X279,0.023,0.054,
M,13,Sample X303,0.024,0.087,
N,13,Sample X327,0.032,0.033,
O,13,Sample X351,0.026,0.089,
P,13,Sample X375,0.026,0.064,
A,14,Sample X16,0.029,0.096,
B,14,Sample X40,0.026,0.091,
C,14,Sample X64,0.021,0.089,
D,14,Sample X88,0.027,0.092,
E,14,Sample X112,0.025,0.095,
F,14,Sample X136,0.025,0.092,
G,14,Sample X160,0.021,0.085,
H,14,Sample X184,0.021,0.082,
I,14,Sample X208,0.028,0.092,
J,14,Sample X232,0.025,0.087,
K,14,Sample X256,0.028,0.089,
L,14,Sample X280,0.020,0.071,
M,14,Sample X304,0.029,0.096,
N,14,Sample X328,0.024,0.087,
O,14,Sample X352,0.021,0.088,
P,14,Sample X376,0.020,0.087,
A,15,Sample X17,0.033,0.096,
B,15,Sample X41,0.030,0.095,
C,15,Sample X65,0.029,0.092,
D,15,Sample X89,0.033,0.101,
E,15,Sample X113,0.028,0.096,
F,15,Sample X137,0.027,0.094,
G,15,Sample X161,0.028,0.089,
H,15,Sample X185,0.032,0.096,
I,15,Sample X209,0.026,0.090,
J,15,Sample X233,0.026,0.079,
K,15,Sample X257,0.031,0.088,
L,15,Sample X281,0.033,0.096,
M,15,Sample X305,0.032,0.095,
N,15,Sample X329,0.031,0.093,
O,15,Sample X353,0.028,0.091,
P,15,Sample X377,0.030,0.094,
A,16,Sample X18,0.036,0.101,
B,16,Sample X42,0.027,0.090,
C,16,Sample X66,0.030,0.096,
D,16,Sample X90,0.021,0.087,
E,16,Sample X114,0.032,0.100,
F,16,Sample X138,0.033,0.099,
G,16,Sample X162,0.032,0.095,
H,16,Sample X186,0.034,0.094,
I,16,Sample X210,0.035,0.097,
J,16,Sample X234,0.031,0.093,
K,16,Sample X258,0.031,0.091,
L,16,Sample X282,0.030,0.079,
M,16,Sample X306,0.031,0.097,
N,16,Sample X330,0.029,0.094,
O,16,Sample X354,0.025,0.091,
P,16,Sample X378,0.020,0.086,
A,17,Sample X19,0.035,0.097,
B,17,Sample X43,0.032,0.098,
C,17,Sample X67,0.056,0.121,
D,17,Sample X91,0.043,0.109,
E,17,Sample X115,0.027,0.094,
F,17,Sample X139,0.029,0.095,
G,17,Sample X163,0.029,0.087,
H,17,Sample X187,0.030,0.090,
I,17,Sample X211,0.039,0.103,
J,17,Sample X235,0.033,0.093,
K,17,Sample X259,0.042,0.100,
L,17,Sample X283,0.042,0.102,
M,17,Sample X307,0.052,0.115,
N,17,Sample X331,0.057,0.123,
O,17,Sample X355,0.070,0.132,
P,17,Sample X379,0.071,0.132,
A,18,Sample X20,0.039,0.105,
B,18,Sample X44,0.039,0.102,
C,18,Sample X68,0.033,0.099,
D,18,Sample X92,0.032,0.095,
E,18,Sample X116,0.038,0.107,
F,18,Sample X140,0.042,0.108,
G,18,Sample X164,0.035,0.099,
H,18,Sample X188,0.029,0.091,
I,18,Sample X212,0.035,0.098,
J,18,Sample X236,0.037,0.099,
K,18,Sample X260,0.036,0.095,
L,18,Sample X284,0.027,0.078,
M,18,Sample X308,0.033,0.099,
N,18,Sample X332,0.029,0.095,
O,18,Sample X356,0.029,0.096,
P,18,Sample X380,0.045,0.111,
A,19,Sample X21,0.036,0.102,
B,19,Sample X45,0.035,0.096,
C,19,Sample X69,0.029,0.094,
D,19,Sample X93,0.031,0.092,
E,19,Sample X117,0.028,0.094,
F,19,Sample X141,0.059,0.124,
G,19,Sample X165,0.071,0.132,
H,19,Sample X189,0.033,0.093,
I,19,Sample X213,0.029,0.090,
J,19,Sample X237,0.032,0.084,
K,19,Sample X261,0.030,0.090,
L,19,Sample X285,0.031,0.086,
M,19,Sample X309,0.030,0.091,
N,19,Sample X333,0.028,0.094,
O,19,Sample X357,0.031,0.095,
P,19,Sample X381,0.033,0.100,
A,20,Sample X22,0.047,0.111,
B,20,Sample X46,0.041,0.104,
C,20,Sample X70,0.036,0.101,
D,20,Sample X94,0.027,0.092,
E,20,Sample X118,0.040,0.107,
F,20,Sample X142,0.043,0.109,
G,20,Sample X166,0.043,0.108,
H,20,Sample X190,0.044,0.104,
I,20,Sample X214,0.035,0.099,
J,20,Sample X238,0.040,0.102,
K,20,Sample X262,0.036,0.091,
L,20,Sample X286,0.029,0.081,
M,20,Sample X310,0.028,0.093,
N,20,Sample X334,0.024,0.091,
O,20,Sample X358,0.028,0.094,
P,20,Sample X382,0.020,0.087,
A,21,Sample X23,0.034,0.099,
B,21,Sample X47,0.031,0.096,
C,21,Sample X71,0.028,0.092,
D,21,Sample X95,0.030,0.092,
E,21,Sample X119,0.029,0.097,
F,21,Sample X143,0.026,0.094,
G,21,Sample X167,0.027,0.088,
H,21,Sample X191,0.029,0.087,
I,21,Sample X215,0.033,0.094,
J,21,Sample X239,0.038,0.097,
K,21,Sample X263,0.028,0.090,
L,21,Sample X287,0.028,0.091,
M,21,Sample X311,0.031,0.092,
N,21,Sample X335,0.027,0.094,
O,21,Sample X359,0.027,0.092,
P,21,Sample X383,0.031,0.092,
A,22,Sample X24,0.043,0.109,
B,22,Sample X48,0.043,0.106,
C,22,Sample X72,0.036,0.100,
D,22,Sample X96,0.035,0.099,
E,22,Sample X120,0.044,0.110,
F,22,Sample X144,0.048,0.113,
G,22,Sample X168,0.044,0.104,
H,22,Sample X192,0.048,0.110,
I,22,Sample X216,0.038,0.100,
J,22,Sample X240,0.030,0.092,
K,22,Sample X264,0.042,0.096,
L,22,Sample X288,0.027,0.079,
M,22,Sample X312,0.028,0.095,
N,22,Sample X336,0.026,0.090,
O,22,Sample X360,0.024,0.090,
P,22,Sample X384,0.019,0.086,
A,23,Sample X25,0.042,0.106,
B,23,Sample X49,0.034,0.099,
C,23,Sample X73,0.029,0.091,
D,23,Sample X97,0.033,0.095,
E,23,Sample X121,0.033,0.101,
F,23,Sample X145,0.029,0.096,
G,23,Sample X169,0.028,0.089,
H,23,Sample X193,0.029,0.085,
I,23,Sample X217,0.028,0.088,
J,23,Sample X241,0.033,0.091,
K,23,Sample X265,0.028,0.087,
L,23,Sample X289,0.028,0.089,
M,23,Sample X313,0.029,0.089,
N,23,Sample X337,0.029,0.091,
O,23,Sample X361,0.029,0.090,
P,23,Sample X385,0.033,0.092,
A,24,Sample X26,0.075,0.139,
B,24,Sample X50,0.042,0.106,
C,24,Sample X74,0.040,0.105,
D,24,Sample X98,0.035,0.100,
E,24,Sample X122,0.042,0.107,
F,24,Sample X146,0.067,0.133,
G,24,Sample X170,0.078,0.140,
H,24,Sample X194,0.080,0.143,
I,24,Sample X218,0.091,0.153,
J,24,Sample X242,0.087,0.149,
K,24,Sample X266,0.072,0.126,
L,24,Sample X290,0.076,0.128,
M,24,Sample X314,0.036,0.100,
N,24,Sample X338,0.033,0.099,
O,24,Sample X362,0.023,0.092,
P,24,Sample X386,0.019,0.088,
