User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 28
Test name: PathLength,Date: 19/12/2019,Time: 17:19:05

ID1: 20191219_clariostar_5uMPathlength,
Absorbance

Well,Content,Raw Data (975 2),
F08,Sample X128,0.074,
F09,Sample X129,0.09,
F10,Sample X130,0.095,
F11,Sample X131,0.096,
F12,Sample X132,0.096,
F13,Sample X133,0.091,
F14,Sample X134,0.105,
F15,Sample X135,0.09,
F16,Sample X136,0.092,
F17,Sample X137,0.108,
F18,Sample X138,0.118,
F19,Sample X139,0.125,
F20,Sample X140,0.113,
F21,Sample X141,0.107,
F22,Sample X142,0.112,
F23,Sample X143,0.12,
F24,Sample X144,0.138,
G01,Sample X145,0.106,
G02,Sample X146,0.072,
G03,Sample X147,0.078,
G04,Sample X148,0.073,
G05,Sample X149,0.072,
G06,Sample X150,0.071,
G07,Sample X151,0.075,
G08,Sample X152,0.073,
G09,Sample X153,0.093,
G10,Sample X154,0.093,
G11,Sample X155,0.093,
G12,Sample X156,0.095,
G13,Sample X157,0.09,
G14,Sample X158,0.092,
G15,Sample X159,0.092,
G16,Sample X160,0.092,
G17,Sample X161,0.105,
G18,Sample X162,0.113,
G19,Sample X163,0.251,
G20,Sample X164,0.116,
G21,Sample X165,0.111,
G22,Sample X166,0.114,
G23,Sample X167,0.108,
G24,Sample X168,0.148,
H01,Sample X169,0.086,
H02,Sample X170,0.07,
H03,Sample X171,0.078,
H04,Sample X172,0.075,
H05,Sample X173,0.076,
H06,Sample X174,0.071,
H07,Sample X175,0.076,
H08,Sample X176,0.073,
H09,Sample X177,0.093,
H10,Sample X178,0.092,
H11,Sample X179,0.092,
H12,Sample X180,0.095,
H13,Sample X181,0.092,
H14,Sample X182,0.095,
H15,Sample X183,0.096,
H16,Sample X184,0.093,
H17,Sample X185,0.108,
H18,Sample X186,0.113,
H19,Sample X187,0.219,
H20,Sample X188,0.115,
H21,Sample X189,0.108,
H22,Sample X190,0.114,
H23,Sample X191,0.105,
H24,Sample X192,0.163,
I01,Sample X193,0.081,
I02,Sample X194,0.073,
I03,Sample X195,0.077,
I04,Sample X196,0.073,
I05,Sample X197,0.086,
I06,Sample X198,0.07,
I07,Sample X199,0.089,
I08,Sample X200,0.075,
I09,Sample X201,0.104,
I10,Sample X202,0.094,
I11,Sample X203,0.098,
I12,Sample X204,0.091,
I13,Sample X205,0.131,
I14,Sample X206,0.089,
I15,Sample X207,0.115,
I16,Sample X208,0.094,
I17,Sample X209,0.119,
I18,Sample X210,0.113,
I19,Sample X211,0.13,
I20,Sample X212,0.113,
I21,Sample X213,0.117,
I22,Sample X214,0.114,
I23,Sample X215,0.113,
I24,Sample X216,0.16,
J01,Sample X217,0.083,
J02,Sample X218,0.073,
J03,Sample X219,0.084,
J04,Sample X220,0.072,
J05,Sample X221,0.089,
J06,Sample X222,0.072,
J07,Sample X223,0.074,
J08,Sample X224,0.082,
J09,Sample X225,0.097,
J10,Sample X226,0.095,
J11,Sample X227,0.096,
J12,Sample X228,0.095,
J13,Sample X229,0.102,
J14,Sample X230,0.098,
J15,Sample X231,0.103,
J16,Sample X232,0.089,
J17,Sample X233,0.117,
J18,Sample X234,0.112,
J19,Sample X235,0.116,
J20,Sample X236,0.113,
J21,Sample X237,0.114,
J22,Sample X238,0.112,
J23,Sample X239,0.115,
J24,Sample X240,0.157,
K01,Sample X241,0.081,
K02,Sample X242,0.073,
K03,Sample X243,0.076,
K04,Sample X244,0.076,
K05,Sample X245,0.095,
K06,Sample X246,0.073,
K07,Sample X247,0.075,
K08,Sample X248,0.082,
K09,Sample X249,0.093,
K10,Sample X250,0.096,
K11,Sample X251,0.105,
K12,Sample X252,0.093,
K13,Sample X253,0.102,
K14,Sample X254,0.096,
K15,Sample X255,0.101,
K16,Sample X256,0.093,
K17,Sample X257,0.142,
K18,Sample X258,0.115,
K19,Sample X259,0.115,
K20,Sample X260,0.112,
K21,Sample X261,0.13,
K22,Sample X262,0.111,
K23,Sample X263,0.111,
K24,Sample X264,0.16,
L01,Sample X265,0.083,
L02,Sample X266,0.075,
L03,Sample X267,0.095,
L04,Sample X268,0.074,
L05,Sample X269,0.079,
L06,Sample X270,0.075,
L07,Sample X271,0.081,
L08,Sample X272,0.098,
L09,Sample X273,0.089,
L10,Sample X274,0.096,
L11,Sample X275,0.089,
L12,Sample X276,0.093,
L13,Sample X277,0.105,
L14,Sample X278,0.088,
L15,Sample X279,0.096,
L16,Sample X280,0.099,
L17,Sample X281,0.115,
L18,Sample X282,0.118,
L19,Sample X283,0.112,
L20,Sample X284,0.114,
L21,Sample X285,0.409,
L22,Sample X286,0.111,
L23,Sample X287,0.114,
L24,Sample X288,0.156,
M01,Sample X289,0.084,
M02,Sample X290,0.075,
M03,Sample X291,0.084,
M04,Sample X292,0.077,
M05,Sample X293,0.088,
M06,Sample X294,0.074,
M07,Sample X295,0.093,
M08,Sample X296,0.1,
M09,Sample X297,0.09,
M10,Sample X298,0.103,
M11,Sample X299,0.093,
M12,Sample X300,0.094,
M13,Sample X301,0.09,
M14,Sample X302,0.097,
M15,Sample X303,0.1,
M16,Sample X304,0.096,
M17,Sample X305,0.118,
M18,Sample X306,0.114,
M19,Sample X307,0.107,
M20,Sample X308,0.113,
M21,Sample X309,0.111,
M22,Sample X310,0.113,
M23,Sample X311,0.271,
M24,Sample X312,0.125,
N01,Sample X313,0.083,
N02,Sample X314,0.071,
N03,Sample X315,0.08,
N04,Sample X316,0.074,
N05,Sample X317,0.078,
N06,Sample X318,0.077,
N07,Sample X319,0.073,
N08,Sample X320,0.105,
N09,Sample X321,0.133,
N10,Sample X322,0.102,
N11,Sample X323,0.09,
N12,Sample X324,0.091,
N13,Sample X325,0.11,
N14,Sample X326,0.093,
N15,Sample X327,0.109,
N16,Sample X328,0.094,
N17,Sample X329,0.115,
N18,Sample X330,0.111,
N19,Sample X331,0.117,
N20,Sample X332,0.114,
N21,Sample X333,0.109,
N22,Sample X334,0.109,
N23,Sample X335,0.116,
N24,Sample X336,0.119,
O01,Sample X337,0.085,
O02,Sample X338,0.078,
O03,Sample X339,0.075,
O04,Sample X340,0.076,
O05,Sample X341,0.078,
O06,Sample X342,0.072,
O07,Sample X343,0.081,
O08,Sample X344,0.102,
O09,Sample X345,0.091,
O10,Sample X346,0.09,
O11,Sample X347,0.091,
O12,Sample X348,0.094,
O13,Sample X349,0.136,
O14,Sample X350,0.094,
O15,Sample X351,0.097,
O16,Sample X352,0.095,
O17,Sample X353,0.125,
O18,Sample X354,0.114,
O19,Sample X355,0.112,
O20,Sample X356,0.112,
O21,Sample X357,0.144,
O22,Sample X358,0.112,
O23,Sample X359,0.107,
O24,Sample X360,0.115,
P01,Sample X361,0.107,
P02,Sample X362,0.078,
P03,Sample X363,0.08,
P04,Sample X364,0.075,
P05,Sample X365,0.078,
P06,Sample X366,0.073,
P07,Sample X367,0.075,
P08,Sample X368,0.128,
P09,Sample X369,0.091,
P10,Sample X370,0.1,
P11,Sample X371,0.129,
P12,Sample X372,0.095,
P13,Sample X373,0.094,
P14,Sample X374,0.097,
P15,Sample X375,0.107,
P16,Sample X376,0.096,
P17,Sample X377,0.13,
P18,Sample X378,0.118,
P19,Sample X379,0.108,
P20,Sample X380,0.113,
P21,Sample X381,0.111,
P22,Sample X382,0.113,
P23,Sample X383,0.109,
P24,Sample X384,0.121,
